age_min,age_max,age_mid,n,k,prev
0,4,2,493,75,0.152129817
5,9,7,478,71,0.148535565
10,14,12,454,68,0.149779736
15,19,17,462,78,0.168831169
20,24,22,556,120,0.215827338
25,29,27,651,179,0.274961598
30,34,32,661,227,0.343419062
35,39,37,614,255,0.415309446
40,44,42,579,281,0.485319516
45,49,47,594,329,0.553872054
50,54,52,453,279,0.61589404
55,59,57,388,259,0.667525773
60,64,62,356,249,0.699438202
65,69,67,310,223,0.719354839
70,74,72,277,203,0.732851986
75,79,77,195,149,0.764102564